# Reference flux 14214.6936817
# Magnitude zero point 29.7465228468
# mag = zpt - 2.5 * log10(flux)
3912.9563 192.08 319.36713123 B1576-gb5-R-7
3912.96356 341.848 397.1634435 B1577-gb5-R-7
3912.97084 151.79 250.329456168 B1578-gb5-R-7
3912.97816 -280.062 324.219333165 B1579-gb5-R-7
3912.98546 259.259 259.58844756 B1580-gb5-R-7
3912.99312 435.784 385.265640756 B1581-gb5-R-7
3913.00037 -309.167 456.59476075 B1582-gb5-R-7
3913.00773 585.312 573.46578556 B1583-gb5-R-7
3913.01497 -39.028 538.72673421 B1584-gb5-R-7
3913.02234 269.04 340.03701816 B1585-gb5-R-7
3913.02999 -185.882 308.934253176 B1586-gb5-R-7
3913.03849 -268.816 347.290053628 B1587-gb5-R-7
3913.04583 301.671 387.657382693 B1588-gb5-R-7
3913.05309 352.109 408.412081172 B1589-gb5-R-7
3913.06038 198.416 400.338974592 B1590-gb5-R-7
3913.06816 125.733 363.200592624 B1591-gb5-R-7
3913.07801 132.967 460.760999553 B1592-gb5-R-7
3913.08534 183.317 542.844869112 B1593-gb5-R-7
3913.09272 111.045 371.292105784 B1594-gb5-R-7
3913.09998 113.886 294.098156936 B1595-gb5-R-7
3913.10758 -319.342 335.722628 B1596-gb5-R-7
3913.11484 199.398 461.628766704 B1597-gb5-R-7
3913.12213 -313.468 413.940673035 B1598-gb5-R-7
3913.1294 212.294 426.463823751 B1599-gb5-R-7
3913.13674 538.483 429.202463544 B1600-gb5-R-7
3913.14436 -183.989 381.189476514 B1601-gb5-R-7
3913.15168 -6.92032 332.696728536 B1602-gb5-R-7
3913.15895 -425.635 300.31996098 B1603-gb5-R-7
3913.7956 -490.486 558.09580248 B1618-gb5-R-7
3913.80288 -439.429 575.29427162 B1619-gb5-R-7
3913.8104 -280.443 487.81333355 B1620-gb5-R-7
3913.81767 -451.238 494.55176112 B1621-gb5-R-7
3913.825 -423.856 585.387020688 B1622-gb5-R-7
3913.83233 -58.3383 515.220415632 B1623-gb5-R-7
3913.83957 -480.204 576.486521136 B1624-gb5-R-7
3913.8472 33.8436 447.56756442 B1625-gb5-R-7
3913.85447 -280.651 497.010785604 B1626-gb5-R-7
3913.86172 124.763 551.280048996 B1627-gb5-R-7
3913.87622 401.237 509.569511125 B1629-gb5-R-7
3913.88386 51.9935 445.21457964 B1630-gb5-R-7
3913.89109 -383.709 443.38858473 B1631-gb5-R-7
3913.89838 -78.679 397.524755134 B1632-gb5-R-7
3913.90562 -279.164 427.92222858 B1633-gb5-R-7
3913.91291 657.572 455.458217485 B1634-gb5-R-7
3913.92055 190.125 492.393283215 B1635-gb5-R-7
3913.9278 -122.032 335.792176863 B1636-gb5-R-7
3913.93505 158.849 388.28423931 B1637-gb5-R-7
3913.94243 366.454 416.825552374 B1638-gb5-R-7
3913.9497 -112.966 431.211305901 B1639-gb5-R-7
3913.95745 181.285 422.243644925 B1640-gb5-R-7
3913.972 -35.8142 368.37191579 B1642-gb5-R-7
3913.97921 -100.693 487.06589437 B1643-gb5-R-7
3913.9865 298.16 437.694188932 B1644-gb5-R-7
3913.99416 395.034 374.722082444 B1645-gb5-R-7
3914.00147 -62.5797 354.097429851 B1646-gb5-R-7
3914.00874 89.1507 434.933017584 B1647-gb5-R-7
3914.01599 149.493 418.51456921 B1648-gb5-R-7
3914.0233 77.3089 331.07375208 B1649-gb5-R-7
3914.03094 -213.343 358.65232998 B1650-gb5-R-7
3914.03956 -47.3844 403.89874062 B1651-gb5-R-7
3914.04683 227.644 523.93057992 B1652-gb5-R-7
3914.05411 492.435 317.124801408 B1653-gb5-R-7
